production_id,production_date,shift,machine_id,product,target_qty,actual_qty,reject_qty,downtime_min,availability,performance,quality,oee
1,2026-08-01,Morning,M003,Biscuit-A,8000,6000,80,40,91.67,90.91,98.67,82.22
2,2026-08-01,Evening,M002,Biscuit-A,6500,5000,100,60,87.50,99.21,98.00,85.07
3,2026-08-01,Morning,M001,Biscuit-A,8520,7920,79,30,93.75,88.00,99.00,81.68
4,2026-08-01,Evening,M002,Biscuit-B,5340,4840,72,41,91.46,91.88,98.51,82.78
5,2026-08-01,Night,M003,Biscuit-A,5970,5770,69,52,89.17,89.88,98.80,79.18
6,2026-08-02,Morning,M002,Biscuit-B,5190,4890,73,37,92.29,91.99,98.51,83.63
7,2026-08-02,Evening,M003,Biscuit-A,6230,5830,69,48,90.00,89.97,98.82,80.01
8,2026-08-02,Night,M001,Biscuit-A,8400,7800,117,59,87.71,92.64,98.50,80.03
9,2026-08-03,Morning,M003,Biscuit-A,6460,5960,71,44,90.83,91.13,98.81,81.79
10,2026-08-03,Evening,M001,Biscuit-A,8640,8040,80,55,88.54,94.59,99.00,82.92
11,2026-08-03,Night,M002,Biscuit-B,5010,4810,57,66,86.25,96.82,98.81,82.52
12,2026-08-04,Morning,M001,Biscuit-A,9070,8470,84,51,89.38,98.72,99.01,87.35
13,2026-08-04,Evening,M002,Biscuit-B,5120,4820,57,62,87.08,96.09,98.82,82.69
14,2026-08-04,Night,M003,Biscuit-A,6140,5840,70,33,93.13,87.10,98.80,80.14
15,2026-08-05,Morning,M002,Biscuit-B,5330,5030,75,58,87.92,99.33,98.51,86.02
16,2026-08-05,Evening,M003,Biscuit-A,6610,6110,73,39,91.88,92.37,98.81,83.85
17,2026-08-05,Night,M001,Biscuit-A,8760,8060,64,50,89.58,93.72,99.21,83.29
18,2026-08-06,Morning,M003,Biscuit-A,6040,5840,58,45,90.63,89.50,99.01,80.31
19,2026-08-06,Evening,M001,Biscuit-A,8350,7850,78,56,88.33,92.57,99.01,80.96
20,2026-08-06,Night,M002,Biscuit-B,5210,5010,60,31,93.54,92.98,98.80,85.94
21,2026-08-07,Morning,M001,Biscuit-A,8670,8170,98,60,87.50,97.26,98.80,84.08
22,2026-08-07,Evening,M002,Biscuit-B,5480,4980,99,43,91.04,94.97,98.01,84.74
23,2026-08-07,Night,M003,Biscuit-A,6320,5820,69,54,88.75,91.08,98.81,79.87
24,2026-08-08,Morning,M002,Biscuit-B,5170,4970,59,35,92.71,93.07,98.81,85.26
25,2026-08-08,Evening,M003,Biscuit-A,6590,6090,73,47,90.21,93.76,98.80,83.57
26,2026-08-08,Night,M001,Biscuit-A,8290,7790,77,58,87.92,92.30,99.01,80.34
27,2026-08-09,Morning,M003,Biscuit-A,6420,6020,108,42,91.25,91.63,98.21,82.11
28,2026-08-09,Evening,M001,Biscuit-A,8930,8230,98,53,88.96,96.37,98.81,84.71
29,2026-08-09,Night,M002,Biscuit-B,5270,4900,60,64,86.67,98.16,98.78,84.03
30,2026-08-10,Morning,M001,Biscuit-A,8010,7610,60,57,88.13,89.95,99.21,78.65
31,2026-08-10,Evening,M002,Biscuit-B,5800,5100,51,32,93.33,94.87,99.00,87.66
32,2026-08-10,Night,M003,Biscuit-A,6000,5700,85,43,91.04,86.96,98.51,77.99
